,date,"Unassigned, Montana, US","Unassigned, Nebraska, US","Unassigned, Nevada, US","Unassigned, New Hampshire, US","Unassigned, New Jersey, US","Unassigned, New Mexico, US","Unassigned, New York, US","Unassigned, North Carolina, US","Unassigned, North Dakota, US","Unassigned, Ohio, US","Unassigned, Oklahoma, US","Unassigned, Oregon, US","Unassigned, Pennsylvania, US","Unassigned, Rhode Island, US","Unassigned, South Carolina, US","Unassigned, South Dakota, US","Unassigned, Tennessee, US","Unassigned, Texas, US","Unassigned, Utah, US","Unassigned, Vermont, US","Unassigned, Virginia, US","Unassigned, Washington, US","Unassigned, West Virginia, US","Unassigned, Wisconsin, US","Unassigned, Wyoming, US","Grand Princess, US"
54,2020-03-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
55,2020-03-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
56,2020-03-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
57,2020-03-19,1,0,11,5,108,0,18,0,0,0,0,0,0,0,0,0,22,3,0,9,1,151,0,0,0,22
58,2020-03-20,1,4,18,5,92,0,449,0,0,0,0,0,0,10,0,0,43,3,0,11,0,130,0,0,0,23
59,2020-03-21,1,0,10,0,140,0,0,0,0,0,0,0,0,12,0,0,0,43,0,0,0,146,0,0,0,23
60,2020-03-22,1,0,36,0,221,0,23,0,0,0,0,0,0,8,0,0,0,0,0,0,0,164,0,0,0,30
61,2020-03-23,1,0,89,23,419,0,107,0,0,0,0,0,0,5,0,0,54,0,0,0,0,145,0,0,0,28
62,2020-03-24,6,0,15,0,645,0,0,0,0,0,0,0,0,23,0,0,38,0,0,0,0,112,0,0,0,28
63,2020-03-25,0,0,15,0,930,0,0,0,0,0,0,0,0,31,0,0,81,0,0,2,0,51,0,0,0,28
64,2020-03-26,0,0,4,0,1478,0,0,0,0,0,0,0,0,33,0,0,112,0,0,8,0,69,0,0,0,28
65,2020-03-27,0,2,16,4,1984,0,0,0,0,0,0,0,0,71,0,0,172,0,0,6,0,67,0,61,0,28
66,2020-03-28,0,0,93,0,2478,0,0,0,0,0,0,0,0,107,0,0,161,0,0,7,0,0,0,0,0,103
67,2020-03-29,0,4,269,0,3020,0,0,0,0,0,0,0,0,57,0,0,190,0,0,7,0,125,0,0,0,103
68,2020-03-30,0,2,132,56,3847,0,0,0,0,0,0,0,0,171,0,0,197,0,0,28,0,274,0,0,0,103